date,country/CHN Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita,country/GBR Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita,country/IND Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita,country/LKA Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita,country/SGP Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita,country/USA Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita
1960,89.5205415103584,1397.5948032844,82.1886020091056,142.779621883716,428.058980027396,3007.12344537862
1961,75.8058379259965,1472.38571407868,85.3543011749033,142.83817062385,449.151071278746,3066.56286916615
1962,70.9094116671007,1525.77585271032,89.8817566863598,138.536667362574,472.085824452565,3243.84307754988
1963,74.3136434486145,1613.45688373392,101.126428181221,117.072043511685,511.205575252773,3374.51517105082
1964,85.4985551596313,1748.2881176141,115.537497020064,120.714370232159,485.533858206574,3573.94118474743
1965,98.4867777522206,1873.56777435421,119.318917211719,152.852744237697,516.53530333901,3827.52710972039
1966,104.324566181147,1986.74715869685,89.9973059630537,153.898723733778,566.807677554886,4146.31664631665
1967,96.5895319417819,2058.78188198056,96.3391366489315,159.50599139416,626.033527685697,4336.42658722171
1968,91.4727183066072,1951.75859587532,99.8759646011063,150.896707697957,708.606066462846,4695.92339043178
1969,100.12990326618,2100.66786858672,107.622317828827,160.913082166436,812.682796852012,5032.14474262003
1970,113.162991554686,2347.54431773747,112.434493490322,183.927471518332,925.80391294265,5234.2966662115
1971,118.654577785346,2649.80151387223,118.603242102118,185.859889336167,1071.41154035538,5609.38259952519
1972,131.883561243868,3030.43251411977,122.981863898262,196.422932988093,1264.37510720987,6094.01798986165
1973,157.090374298657,3426.27622050378,143.778688096538,216.994958359606,1685.45979632163,6726.35895596695
1974,160.140093727686,3665.8627976419,163.478111157501,264.746235718467,2341.70551423633,7225.69135952566
1975,178.341819608096,4299.74561799284,158.036171764282,275.627619329262,2489.91157517591,7801.45666356443
1976,165.40554037242,4138.16778761535,161.092091731697,256.286715355097,2758.94038028476,8592.25353727612
1977,185.422832913673,4681.43993173038,186.213501325277,287.561636646356,2846.33598832854,9452.57651914511
1978,156.396388520044,5976.93816899991,205.693386086224,188.058494195366,3193.90565722355,10564.9482220275
1979,183.983152215978,7804.76208051155,224.001016839808,227.509826803542,3900.53355310873,11674.1863100131
1980,194.804722186836,10032.062080015,266.577848118397,267.668683996945,4928.13911785754,12574.7915062163
1981,197.071474499102,9599.30622221965,270.470602438399,289.130689381959,5596.58597723068,13976.1097504641
1982,203.334919503464,9146.07735701852,274.111331421581,307.638303057229,6077.63424070932,14433.787727053
1983,225.431928890812,8691.51881306514,291.238110137317,328.650429327013,6633.23667366491,15543.8937174925
1984,250.713969046988,8179.19444064991,276.667958643143,378.937189638572,7228.31758410647,17121.2254849995
1985,294.45884850496,8652.21654247593,296.435151551022,369.581941708333,7001.7667477117,18236.8277265009
1986,281.928120911563,10611.112210096,310.465935085896,390.350758933509,6799.93036332671,19071.2271949295
1987,251.811956961329,13118.586534629,340.41683161231,401.477192409905,7539.02930212443,20038.9410992658
1988,283.537695240524,15987.1680775688,354.149251617083,413.454996935024,8914.44122574729,21417.0119305191
1989,310.8819124049,16239.2821960944,346.112887271625,408.450842995894,10394.5389962406,22857.1544330056
1990,317.884673040928,19095.4669984608,367.556609311203,463.618631805931,11861.7561591366,23888.6000088133
1991,333.142145400184,19900.7266505069,303.055605342701,513.258535278508,14502.3799938606,24342.2589048189
1992,366.460692302073,20487.1707852878,316.953927895311,547.05471943737,16135.9136525986,25418.9907763319
1993,377.389839479958,18389.0195675099,301.159004220577,576.78001259826,18290.0282372282,26387.2937338171
1994,473.492278718042,19709.2380983653,346.102950322606,647.579049055816,21553.0308996263,27694.853416234
1995,609.656679202484,23123.1777902009,373.766480007829,714.233427260714,24914.411255678,28690.8757013347
1996,709.413755085039,24332.6977665594,399.950076763934,756.65707290313,26233.6288964795,29967.7127181749
1997,781.744164341053,26734.5626114537,415.493796981777,817.064348987277,26375.9719503189,31459.1389804773
1998,828.580479295681,28214.274355869,413.298934242221,850.811420552006,21829.2998697666,32853.6769523009
1999,873.28706172579,28669.539690801,441.998759593395,838.883867360624,21796.0844360572,34513.5615037271
2000,959.372483639691,28149.8700107891,443.31419339174,869.696516609157,23852.3270285975,36334.9087770589
2001,1053.10824300452,27744.5064592461,451.573001074356,832.803440237058,21700.0200458315,37133.2428088526
2002,1148.5082904417,30056.5862179301,470.98678594916,867.491213740342,22159.6888632741,38023.1611144021
2003,1288.64325183381,34419.1479145952,546.726614478728,982.195645858104,23730.1524496489,39496.4858751381
2004,1508.66809788266,40290.3139710116,627.774247283919,1065.78443680197,27608.5373712744,41712.8010675545
2005,1753.41782925823,42030.2866138136,714.861013495661,1248.69818517034,29961.2632774569,44114.7477810544
2006,2099.22943460447,44599.6975685697,806.753280628799,1435.8171774712,33769.1541633501,46298.7314440927
2007,2693.97006340526,50566.8265956828,1028.33477107667,1630.38890604323,39432.9383493761,47975.9676958038
2008,3468.30460207434,47286.9984928367,998.522339019268,2037.32210302668,40007.469261214,48382.5584490552
2009,3832.23643246702,38713.1374283353,1101.96084002239,2090.4018261396,38927.2068817715,47099.9804711343
2010,4550.4531077571,39435.8399018505,1357.56371913262,2799.64887619972,47236.9602345421,48467.5157769259
2011,5618.13226711952,42038.572250193,1458.10352686177,3200.83382914016,53890.4287270504,49886.8181094923
2012,6316.91831760216,42462.771568145,1443.87952939042,3350.52187589289,55546.4885386921,51610.6052783379
2013,7050.64627124287,43444.533001954,1449.6059123387,3610.28936304898,56967.4257940383,53117.6678498178
2014,7678.59948587483,47425.6076805194,1573.88149211052,3819.25352972265,57562.5307937678,55064.7445483427
2015,8066.94263493557,44974.8318771782,1605.60543355488,3843.78067184442,55646.6187469505,56839.3817742317
2016,8147.93770548839,41064.1334316223,1732.56426178428,3886.29150165239,56828.2953471601,57951.5840820997
2017,8879.43866711346,40361.4173832159,1981.6510498992,4077.04372120747,60913.745333494,60062.2223132211
2018,9976.67713725865,43043.2278164551,2005.86300452403,4080.56712469552,66188.7793961798,62996.4712852605
2019,10261.6792453621,42330.117537005,2099.59904810855,3853.08369288942,65233.2824392302,65297.517508274
